id_tempo;anomes_iso;mes;ano;anomes_formatado
170;199210;10;1992;10/1992
171;199211;11;1992;11/1992
172;199212;12;1992;12/1992
173;199300;0;1993;00/1993
174;199314;14;1993;14/1993
175;199313;13;1993;13/1993
176;199301;1;1993;01/1993
177;199302;2;1993;02/1993
178;199303;3;1993;03/1993
179;199304;4;1993;04/1993
180;199305;5;1993;05/1993
181;199306;6;1993;06/1993
182;199307;7;1993;07/1993
183;199308;8;1993;08/1993
184;199309;9;1993;09/1993
185;199310;10;1993;10/1993
186;199311;11;1993;11/1993
187;199312;12;1993;12/1993
188;199400;0;1994;00/1994
189;199414;14;1994;14/1994
190;199413;13;1994;13/1994
191;199401;1;1994;01/1994
192;199402;2;1994;02/1994
193;199403;3;1994;03/1994
194;199404;4;1994;04/1994
195;199405;5;1994;05/1994
196;199406;6;1994;06/1994
197;199407;7;1994;07/1994
198;199408;8;1994;08/1994
199;198105;5;1981;05/1981
200;198106;6;1981;06/1981
201;198107;7;1981;07/1981
202;198108;8;1981;08/1981
203;198109;9;1981;09/1981
204;198110;10;1981;10/1981
205;198111;11;1981;11/1981
206;198112;12;1981;12/1981
207;198200;0;1982;00/1982
208;198214;14;1982;14/1982
209;198213;13;1982;13/1982
210;198201;1;1982;01/1982
211;198202;2;1982;02/1982
212;198203;3;1982;03/1982
213;198204;4;1982;04/1982
214;198205;5;1982;05/1982
215;198206;6;1982;06/1982
216;198207;7;1982;07/1982
217;198208;8;1982;08/1982
218;198209;9;1982;09/1982
219;198210;10;1982;10/1982
220;198211;11;1982;11/1982
221;198212;12;1982;12/1982
222;198300;0;1983;00/1983
223;198314;14;1983;14/1983
224;198313;13;1983;13/1983
225;198301;1;1983;01/1983
226;198302;2;1983;02/1983
227;198303;3;1983;03/1983
228;198304;4;1983;04/1983
229;198305;5;1983;05/1983
230;198306;6;1983;06/1983
231;198307;7;1983;07/1983
232;198308;8;1983;08/1983
233;198309;9;1983;09/1983
234;198310;10;1983;10/1983
235;198311;11;1983;11/1983
236;198312;12;1983;12/1983
237;198400;0;1984;00/1984
238;198414;14;1984;14/1984
239;198413;13;1984;13/1984
240;198401;1;1984;01/1984
241;198402;2;1984;02/1984
242;198403;3;1984;03/1984
243;198404;4;1984;04/1984
244;198405;5;1984;05/1984
245;198406;6;1984;06/1984
246;198407;7;1984;07/1984
247;198408;8;1984;08/1984
248;198409;9;1984;09/1984
249;198410;10;1984;10/1984
250;198411;11;1984;11/1984
251;198412;12;1984;12/1984
252;198500;0;1985;00/1985
253;198514;14;1985;14/1985
254;198513;13;1985;13/1985
255;198501;1;1985;01/1985
256;198502;2;1985;02/1985
257;198503;3;1985;03/1985
258;198504;4;1985;04/1985
259;198505;5;1985;05/1985
260;198506;6;1985;06/1985
261;198507;7;1985;07/1985
262;198508;8;1985;08/1985
263;198509;9;1985;09/1985
264;198510;10;1985;10/1985
265;198511;11;1985;11/1985
266;198512;12;1985;12/1985
267;198600;0;1986;00/1986
268;198614;14;1986;14/1986
269;198613;13;1986;13/1986
270;198601;1;1986;01/1986
271;198602;2;1986;02/1986
272;198714;14;1987;14/1987
273;198603;3;1986;03/1986
274;198604;4;1986;04/1986
275;198605;5;1986;05/1986
276;198606;6;1986;06/1986
277;198607;7;1986;07/1986
278;198608;8;1986;08/1986
279;198609;9;1986;09/1986
280;198610;10;1986;10/1986
281;198611;11;1986;11/1986
282;198612;12;1986;12/1986
283;198700;0;1987;00/1987
284;198713;13;1987;13/1987
285;198701;1;1987;01/1987
286;198702;2;1987;02/1987
287;198703;3;1987;03/1987
288;198704;4;1987;04/1987
289;198705;5;1987;05/1987
290;198706;6;1987;06/1987
291;198707;7;1987;07/1987
292;198708;8;1987;08/1987
293;198709;9;1987;09/1987
294;198710;10;1987;10/1987
295;198711;11;1987;11/1987
296;198712;12;1987;12/1987
297;198800;0;1988;00/1988
298;198814;14;1988;14/1988
299;198813;13;1988;13/1988
300;198801;1;1988;01/1988
301;198802;2;1988;02/1988
302;198803;3;1988;03/1988
303;198804;4;1988;04/1988
304;198805;5;1988;05/1988
305;198806;6;1988;06/1988
306;198807;7;1988;07/1988
307;198808;8;1988;08/1988
308;198809;9;1988;09/1988
309;198810;10;1988;10/1988
310;198811;11;1988;11/1988
